State,County,Year,RiskDays
Indiana,Allen,2010,231
Indiana,Delaware,2010,79
Indiana,Hamilton,2010,61
Indiana,Lake,2010,280
Indiana,Marion,2010,263
Indiana,Monroe,2010,142
Indiana,St. Joseph,2010,193
Indiana,Tippecanoe,2010,189
Indiana,Vanderburgh,2010,235
Indiana,Allen,2011,164
Indiana,Delaware,2011,70
Indiana,Hamilton,2011,46
Indiana,Lake,2011,214
Indiana,Marion,2011,295
Indiana,Monroe,2011,120
Indiana,St. Joseph,2011,170
Indiana,Tippecanoe,2011,169
Indiana,Vanderburgh,2011,162
Indiana,Allen,2012,228
Indiana,Delaware,2012,89
Indiana,Hamilton,2012,69
Indiana,Lake,2012,217
Indiana,Marion,2012,278
Indiana,Monroe,2012,54
Indiana,St. Joseph,2012,190
Indiana,Tippecanoe,2012,225
Indiana,Vanderburgh,2012,191
Indiana,Allen,2013,124
Indiana,Delaware,2013,42
Indiana,Hamilton,2013,16
Indiana,Lake,2013,209
Indiana,Marion,2013,254
Indiana,Monroe,2013,65
Indiana,St. Joseph,2013,189
Indiana,Tippecanoe,2013,195
Indiana,Vanderburgh,2013,157
Indiana,Allen,2014,170
Indiana,Delaware,2014,36
Indiana,Hamilton,2014,98
Indiana,Lake,2014,240
Indiana,Marion,2014,231
Indiana,Monroe,2014,72
Indiana,St. Joseph,2014,143
Indiana,Tippecanoe,2014,88
Indiana,Vanderburgh,2014,186
Indiana,Allen,2015,122
Indiana,Delaware,2015,33
Indiana,Hamilton,2015,87
Indiana,Lake,2015,155
Indiana,Marion,2015,188
Indiana,Monroe,2015,53
Indiana,St. Joseph,2015,135
Indiana,Tippecanoe,2015,94
Indiana,Vanderburgh,2015,151
Indiana,Allen,2016,94
Indiana,Delaware,2016,38
Indiana,Hamilton,2016,88
Indiana,Lake,2016,108
Indiana,Marion,2016,160
Indiana,Monroe,2016,16
Indiana,St. Joseph,2016,106
Indiana,Tippecanoe,2016,42
Indiana,Vanderburgh,2016,93
Indiana,Allen,2017,86
Indiana,Delaware,2017,42
Indiana,Hamilton,2017,63
Indiana,Lake,2017,109
Indiana,Marion,2017,146
Indiana,Monroe,2017,25
Indiana,St. Joseph,2017,92
Indiana,Tippecanoe,2017,67
Indiana,Vanderburgh,2017,82
Indiana,Allen,2018,107
Indiana,Delaware,2018,41
Indiana,Hamilton,2018,73
Indiana,Lake,2018,148
Indiana,Marion,2018,173
Indiana,Monroe,2018,80
Indiana,St. Joseph,2018,117
Indiana,Tippecanoe,2018,60
Indiana,Vanderburgh,2018,104
Indiana,Allen,2019,103
Indiana,Delaware,2019,33
Indiana,Hamilton,2019,97
Indiana,Lake,2019,140
Indiana,Marion,2019,212
Indiana,Monroe,2019,50
Indiana,St. Joseph,2019,89
Indiana,Tippecanoe,2019,67
Indiana,Vanderburgh,2019,69
