HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
1,1,J440,1,1,1,11907,11907,1
1,1,J441,6,6,39,418016,69669.3333,6.5
1,2,J441,1,1,4,24529,24529,4
11,1,J440,2,2,9,74485,37242.5,4.5
11,1,J441,119,119,498,3949288,33187.2941,4.18
11,1,J449,1,1,9,129928,129928,9
11,2,J441,16,16,58,422227,26389.1875,3.63
11,3,J441,1,1,1,17317,17317,1
11,4,J441,9,9,38,275735,30637.222199999997,4.220000000000001
11,5,J441,1,1,3,23451,23451,3
27,1,J440,39,39,146,838126,21490.410300000003,3.7399999999999998
27,1,J441,451,451,2172,13373493,29652.977800000004,4.82
27,2,J440,5,5,58,400899,80179.8,11.6
27,2,J441,98,98,464,2968237,30288.1327,4.7299999999999995
27,3,J440,1,1,3,42557,42557,3
27,3,J441,13,13,53,345698,26592.1538,4.08
27,4,J440,4,4,23,114128,28532,5.75
27,4,J441,62,62,233,1481192,23890.1935,3.7600000000000002
27,4,J449,1,1,3,19623,19623,3
27,5,J440,1,1,7,78539,78539,7
27,5,J441,11,11,43,250683,22789.363600000004,3.91
27,5,J449,1,1,1,2338,2338,1
28,1,J441,50,50,181,1038641,20772.82,3.62
28,2,J440,1,1,2,7622,7622,2
28,2,J441,18,18,74,452480,25137.777800000003,4.11
28,3,J441,3,3,4,34324,11441.333300000002,1.33
28,4,J440,1,1,3,19466,19466,3
28,4,J441,25,25,78,367242,14689.679999999998,3.12
28,5,J441,3,3,8,52813,17604.333300000002,2.67
30,1,J441,3,2,24,73362,36681,8
30,4,J441,1,1,8,33890,33890,8
31,1,J440,20,20,115,1502802,75140.1,5.75
31,1,J441,184,184,964,12901653,70117.67929999999,5.24
31,1,J449,1,1,1,20775,20775,1
31,2,J440,1,1,5,50655,50655,5
31,2,J441,25,25,104,1347592,53903.68000000001,4.16
31,4,J440,39,39,206,2950742,75660.0513,5.279999999999999
31,4,J441,219,219,997,13604733,62122.068499999994,4.55
31,4,J449,2,2,5,60275,30137.5,2.5
31,5,J441,1,1,4,41874,41874,4
32,1,J440,30,30,137,978758,32625.2667,4.57
32,1,J441,331,331,1505,10599926,32023.9456,4.55
32,1,J449,8,8,42,177974,22246.75,5.25
32,2,J440,5,5,21,166907,33381.4,4.2
32,2,J441,65,65,331,2123693,32672.2,5.09
32,2,J449,1,1,1,38995,38995,1
32,3,J440,1,1,12,115685,115685,12
32,3,J441,2,2,9,71468,35734,4.5
32,4,J440,11,11,36,232496,21136,3.2700000000000005
32,4,J441,33,33,140,791103,23972.818199999998,4.24
32,5,J440,2,2,4,32880,16440,2
32,5,J441,13,13,35,244958,18842.9231,2.69
