State.Code,County.Code,Site.Num,Parameter.Code,POC,Latitude,Longitude,Datum,Parameter.Name,Sample.Duration,Pollutant.Standard,Metric.Used,Method.Name,Year,Units.of.Measure,Event.Type,Observation.Count,Observation.Percent,Completeness.Indicator,Valid.Day.Count,Required.Day.Count,Exceptional.Data.Count,Null.Data.Count,Primary.Exceedance.Count,Secondary.Exceedance.Count,Certification.Indicator,Num.Obs.Below.MDL,Arithmetic.Mean,Arithmetic.Standard.Dev,X1st.Max.Value,X1st.Max.DateTime,X2nd.Max.Value,X2nd.Max.DateTime,X3rd.Max.Value,X3rd.Max.DateTime,X4th.Max.Value,X4th.Max.DateTime,X1st.Max.Non.Overlapping.Value,X1st.NO.Max.DateTime,X2nd.Max.Non.Overlapping.Value,X2nd.NO.Max.DateTime,X99th.Percentile,X98th.Percentile,X95th.Percentile,X90th.Percentile,X75th.Percentile,X50th.Percentile,X10th.Percentile,Local.Site.Name,Address,State.Name,County.Name,City.Name,CBSA.Name,Date.of.Last.Change
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
character,character,character,double,double,double,double,character,character,character,character,character,character,double,character,character,double,double,character,double,double,double,double,double,double,character,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,character,character,character,character,character,character,double
