HOSPID,PAYOR1,DIAG1,PATS,PWC,TD,TC,XC,XD
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
double,double,character,double,double,double,double,double,double
